"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Role of Wearable Devices in Chronic Disease Monitoring and Patient Care: A Comprehensive Review","https://scispace.com/paper/the-role-of-wearable-devices-in-chronic-disease-monitoring-idagpylffll4","2024","Journal Article","Cureus","Eman A Jafleh
Fatima A Alnaqbi
Hind A Almaeeni
Shooq Faqeeh
Moza A Alzaabi
Khaled Al Zaman","10.7759/cureus.68921","","Wearable health devices are becoming vital in chronic disease management because they offer real-time monitoring and personalized care. This review explores their effectiveness and challenges across medical fields, including cardiology, respiratory health, neurology, endocrinology, orthopedics, oncology, and mental health. A thorough literature search identified studies focusing on wearable devices’ impact on patient outcomes. In cardiology, wearables have proven effective for monitoring hypertension, detecting arrhythmias, and aiding cardiac rehabilitation. In respiratory health, these devices enhance asthma management and continuous monitoring of critical parameters. Neurological applications include seizure detection and Parkinson’s disease management, with wearables showing promising results in improving patient outcomes. In endocrinology, wearable technology advances thyroid dysfunction monitoring, fertility tracking, and diabetes management. Orthopedic applications include improved postsurgical recovery and rehabilitation, while wearables help in early complication detection in oncology. Mental health benefits include anxiety detection, post-traumatic stress disorder management, and stress reduction through wearable biofeedback. In conclusion, wearable health devices offer transformative potential for managing chronic illnesses by enhancing real-time monitoring and patient engagement. Despite significant improvements in adherence and outcomes, challenges with data accuracy and privacy persist. However, with ongoing innovation and collaboration, we can all be part of the solution to maximize the benefits of wearable technologies in healthcare.","This comprehensive review examines the effectiveness and challenges of wearable devices in chronic disease management across various medical fields, highlighting their transformative potential in enhancing patient outcomes and engagement, despite data accuracy and privacy concerns."
"Wearable technologies in health monitoring: effectiveness in preventing lifestyle diseases","https://scispace.com/paper/wearable-technologies-in-health-monitoring-effectiveness-in-1vdvr5pi125x","2026","Journal Article","International Journal of Innovative Technologies in Social Science","Dagmara Gładysz
Joanna Barwacz
Magdalena Adamik
Marta Czarnowska
Radosław Sciepuro
Agnieszka Zaleszczyk","10.31435/ijitss.1(49).2026.4778","","Research objectives: This comprehensive systematic review and meta-analysis aims to critically evaluate the clinical evidence on the effectiveness, feasibility, and cost-effectiveness of wearable technologies in health monitoring and the prevention of lifestyle diseases between 2020 and 2024. 
The study focuses on two main pillars of innovation: devices for monitoring physical activity and health parameters (smartwatches, fitness bands, continuous glucose monitors) and artificial intelligence (AI)-based data analysis systems that enable early risk detection and personalization of health interventions. 
In addition, the review analyzes the ethical, legal, social, and implementation (ELSI) barriers that must be overcome to enable the large-scale implementation of wearable technologies in healthcare systems. 
Methods: A scoping review of scientific literature was conducted in databases including PubMed, Scopus, and Google Scholar, using inclusion criteria that included randomized controlled trials (RCTs), systematic reviews, and meta-analyses published from January 2020 to July 2024. 
Seven key meta-analyses and twenty RCTs were analyzed in detail, focusing on effect sizes (Hedges' g, standardized mean difference - SMD), adherence rates, and impact on clinical endpoints. The risk of systematic error and regulatory frameworks were also assessed. 
Main results: Wearable technologies showed moderate to high effectiveness in monitoring health parameters and modifying health-related behaviors. A meta-analysis of interventions using wearable devices to monitor physical activity showed a statistically significant increase in the number of steps per day (weighted mean difference: 1519 steps/day, 95% CI 1096-1942) and moderate to large effect sizes (SMD = 0.449) compared to control groups (Hodkinson et al., 2021; Tang et al., 2020). 
Continuous glucose monitoring (CGM) has shown particularly high effectiveness in diabetes control. A meta-analysis of 15 RCTs (2,461 patients) showed a significant reduction in HbA1c (weighted mean difference: -0.17%, 95% CI -0.29 to -0.06) and an increase in time in range (TIR) of 70.74 minutes (95% CI 46.73-94.76) compared to standard care (Maiorino et al., 2020). 
The main barriers included: problems with measurement accuracy in real-world settings, user fatigue leading to low long-term adherence, protection of health data privacy, and lack of standardization and interoperability between devices and EHR (electronic health record) systems. 
Conclusions: Wearable technologies are becoming an integral part of preventive medicine and chronic disease management. The future lies in blended care models that combine continuous health monitoring with AI predictive algorithms and clinical oversight. 
Long-term RCT studies (≥12 months) and a clear regulatory framework regarding the accuracy of medical devices, data collection ethics, and legal liability must be established before widespread implementation in healthcare systems.","This systematic review and meta-analysis evaluates the effectiveness of wearable technologies in health monitoring and preventing lifestyle diseases, finding moderate to high effectiveness in monitoring health parameters and modifying behaviors, with notable benefits in diabetes control and physical activity."
"How Wearable Sensors Promote Public Health Through Chronic Disease Management","https://scispace.com/paper/how-wearable-sensors-promote-public-health-through-chronic-kuhh35qhjoou","2026","Journal Article","","Hongbo Wang","10.70121/001c.147475","","Wearable sensors are transforming the landscape of public health, particularly in the management of chronic diseases such as cardiovascular conditions and diabetes. These technologies enable continuous, non-invasive health monitoring, early detection of anomalies, and real-time data collection for both patients and healthcare providers. This paper explores how wearable biosensors, including AI-integrated devices and electrochemical sensors, contribute to improved chronic disease outcomes. By reviewing recent advancements published in leading biomedical journals, the study examines the effectiveness of wearable sensors in promoting patient adherence, enhancing telehealth, and reducing healthcare burdens. Despite their promise, challenges such as data accuracy, privacy concerns, and cost remain unresolved. This paper concludes with a discussion of emerging innovations and long-term hopes for how wearable technologies can further support public health initiatives.","Wearable sensors improve chronic disease management through continuous monitoring, early detection, and real-time data collection, enhancing patient adherence, telehealth, and reducing healthcare burdens, but challenges persist regarding data accuracy, privacy, and cost."
"Utilization of wearable technology data in chronic disease management","https://scispace.com/paper/utilization-of-wearable-technology-data-in-chronic-disease-1blgdt5wur9r","2022","Journal Article","World Journal Of Advanced Research and Reviews","O.O.A. Oni
Topeola Balkis Awofala","10.30574/wjarr.2022.16.3.1208","","Chronic diseases such as diabetes and cardiovascular disease pose significant challenges for patients and healthcare systems around the globe. The advent of wearable technology, capable of monitoring vital health metrics such as glucose levels and heart rate in real-time, presents transformative possibilities for managing these conditions. This paper thoroughly explores the effectiveness of wearable devices in enhancing patient outcomes, emphasizing the role of continuous monitoring and timely interventions that these technologies facilitate. Additionally, it examines the critical aspects of patient compliance and engagement, highlighting how the design and functionality of wearable devices influence long-term use and adherence. The discussion extends to the integration challenges of these devices within existing healthcare frameworks, focusing on data privacy, accuracy, and the need for robust data management systems. The paper also considers the broader implications of wearable technology, suggesting that beyond individual patient management, these devices hold potential for large-scale health data analysis and policy-making, ultimately guiding future research directions to maximize their benefits in chronic disease management. This comprehensive examination not only underscores the capabilities of wearable technology but also maps out the necessary advancements and policy adjustments required to fully integrate these innovative tools into mainstream healthcare practices. ","This study explores the effectiveness of wearable technology in managing chronic diseases, emphasizing continuous monitoring, patient compliance, and data integration, while highlighting the need for robust data management and policy adjustments to maximize benefits in chronic disease management and future research directions."
"Wearable Technology in the Management of Chronic Diseases: A Growing Concern","https://scispace.com/paper/wearable-technology-in-the-management-of-chronic-diseases-a-oq0b7n9ia065","2024","Journal Article","Chronic Diseases and Translational Medicine","Victor Abiola Adepoju
Safayet Jamil
Mohammad Shahangir Biswas
ABM Alauddin Chowdhury","10.1002/cdt3.156","","Wearable technology in the management of chronic diseases has emerged as a significant and growing concern in healthcare. These technologies, including smartwatches, fitness trackers, and other sensor‐based devices, offer continuous monitoring and real‐time data collection for individuals with chronic conditions. The data collected can include vital signs, activity levels, sleep patterns, and more, providing valuable insights into a patient's health. This trend is particularly relevant in the context of chronic diseases, such as diabetes, cardiovascular conditions, and respiratory disorders, where continuous monitoring is crucial for effective management. Wearable devices empower patients to actively participate in their healthcare by facilitating self‐monitoring and promoting healthy behaviors. Healthcare providers can also leverage the data generated by these devices to make informed decisions, personalize treatment plans, and intervene proactively. However, challenges exist, such as data security and privacy concerns, the accuracy of the collected information, and the need for effective integration into existing healthcare systems. Despite these challenges, the increasing adoption of wearable technology in chronic disease management reflects a promising avenue for improving patient outcomes and reducing healthcare costs through preventive and personalized care.","Wearable technology, including smartwatches and fitness trackers, offers continuous monitoring and real-time data collection for chronic disease management, empowering patients and healthcare providers to make informed decisions and promote preventive and personalized care."
"The Influence of Wearables on Health Care Outcomes in Chronic Disease: Systematic Review","https://scispace.com/paper/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5","2022","Journal Article","Journal of Medical Internet Research","Graeme Mattison
Oliver J. Canfell
Douglas J. Forrester
Chelsea Dobbins
Daniel Smith
Juha Töyräs
Clair Sullivan","10.2196/36690","https://scispace.com/pdf/the-influence-of-wearables-on-health-care-outcomes-in-2q2mx4y5.pdf","Background Chronic diseases contribute to high rates of disability and mortality. Patient engagement in chronic disease self-management is an essential component of chronic disease models of health care. Wearables provide patient-centered health data in real time, which can help inform self-management decision-making. Despite the perceived benefits of wearables in improving chronic disease self-management, their influence on health care outcomes remains poorly understood. Objective This review aimed to examine the influence of wearables on health care outcomes in individuals with chronic diseases through a systematic review of the literature. Methods A narrative systematic review was conducted by searching 6 databases for randomized and observational studies published between January 1, 2016, and July 1, 2021, that included the use of a wearable intervention in a chronic disease group to assess its impact on a predefined outcome measure. These outcomes were defined as any influence on the patient or clinician experience, cost-effectiveness, or health care outcomes as a result of the wearable intervention. Data from the included studies were extracted based on 6 key themes, which formed the basis for a narrative qualitative synthesis. All outcomes were mapped against each component of the Quadruple Aim of health care. The guidelines of the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) statement were followed in this study. Results A total of 30 articles were included; studies reported 2446 participants (mean age: range 10.1-74.4 years), and the influence of 14 types of wearables on 18 chronic diseases was presented. The most studied chronic diseases were type 2 diabetes (4/30, 13%), Parkinson disease (3/30, 10%), and chronic lower back pain (3/30, 10%). The results were mixed when assessing the impact on a predefined primary outcome, with 50% (15/30) of studies finding a positive influence on the studied outcome and 50% (15/30) demonstrating a nil effect. There was a positive effect of 3D virtual reality systems on chronic pain in 7% (2/30) of studies that evaluated 2 distinct chronic pain syndromes. Mixed results were observed in influencing exercise capacity; weight; and biomarkers of disease, such as hemoglobin A1c, in diabetes. In total, 155 outcomes were studied. Most (139/155, 89.7%) addressed the health care outcomes component. This included pain (11/155, 7.5%), quality of life (7/155, 4.8%), and physical function (5/155, 3.4%). Approximately 7.7% (12/155) of outcome measures represented the patient experience component, with 1.3% (2/155) addressing the clinician experience and cost. Conclusions Given their popularity and capability, wearables may play an integral role in chronic disease management. However, further research is required to generate a strong evidence base for safe and effective implementation. Trial Registration PROSPERO International Prospective Register of Systematic Reviews CRD42021244562; https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=244562","Given their popularity and capability, wearables may play an integral role in chronic disease management, however, further research is required to generate a strong evidence base for safe and effective implementation."
"Wearable Devices for Supporting Chronic Disease Self-Management: A Scoping Review (Preprint)","https://scispace.com/paper/wearable-devices-for-supporting-chronic-disease-self-1lhhh355r0l1","2023","Journal Article","Interactive journal of medical research","Marie-Pierre Gagnon
Steven Ouellet
Eugene Ametepe Attisso
Wilfried Supper
Samira Amil
Caroline Rhéaume
Jean-Sébastien Paquette
Christian Chabot
Marie-Claude Laferrière
Maxime Sasseville","10.2196/55925","","BACKGROUND
People with chronic diseases can benefit from wearable devices in managing their health and encouraging healthy lifestyle habits. Wearables such as activity trackers or blood glucose monitoring devices can lead to positive health impacts, including improved physical activity adherence or better management of type 2 diabetes. Few literature reviews have focused on the intersection of various chronic diseases, the wearable devices used, and the outcomes evaluated in intervention studies, particularly in the context of primary health care.


OBJECTIVE
This study aims to identify and describe (1) the chronic diseases represented in intervention studies, (2) the types or combinations of wearables used, and (3) the health or health care outcomes assessed and measured.


METHODS
We conducted a scoping review following the Joanna Briggs Institute guidelines, searching the MEDLINE and Web of Science databases for studies published between 2012 and 2022. Pairs of reviewers independently screened titles and abstracts, applied the selection criteria, and performed full-text screening. We included interventions using wearables that automatically collected and transmitted data to adult populations with at least one chronic disease. We excluded studies with participants with only a predisposition to develop a chronic disease, hospitalized patients, patients with acute diseases, patients with active cancer, and cancer survivors. We included randomized controlled trials and cohort, pretest-posttest, observational, mixed methods, and qualitative studies.


RESULTS
After the removal of 1987 duplicates, we screened 4540 titles and abstracts. Of the remaining 304 articles after exclusions, we excluded 215 (70.7%) full texts and included 89 (29.3%). Of these 89 texts, 10 (11%) were related to the same interventions as those in the included studies, resulting in 79 studies being included. We structured the results according to chronic disease clusters: (1) diabetes, (2) heart failure, (3) other cardiovascular conditions, (4) hypertension, (5) multimorbidity and other combinations of chronic conditions, (6) chronic obstructive pulmonary disease, (7) chronic pain, (8) musculoskeletal conditions, and (9) asthma. Diabetes was the most frequent health condition (18/79, 23% of the studies), and wearable activity trackers were the most used (42/79, 53% of the studies). In the 79 included studies, 74 clinical, 73 behavioral, 36 patient technology experience, 28 health care system, and 25 holistic or biopsychosocial outcomes were reported.


CONCLUSIONS
This scoping review provides an overview of the wearable devices used in chronic disease self-management intervention studies, revealing disparities in both the range of chronic diseases studied and the variety of wearable devices used. These findings offer researchers valuable insights to further explore health care outcomes, validate the impact of concomitant device use, and expand their use to other chronic diseases.


TRIAL REGISTRATION
Open Science Framework Registries (OSF) s4wfm; https://osf.io/s4wfm.","This scoping review identifies wearable devices used in chronic disease self-management studies, revealing disparities in chronic diseases studied and wearable devices used, with diabetes being the most frequent condition and activity trackers the most used."
"Effectiveness of Wearable Sensors in Managing Chronic Diseases: A Review","https://scispace.com/paper/effectiveness-of-wearable-sensors-in-managing-chronic-ytmhmnyiud72","2025","Journal Article","","Afsheen Sabir
Saima Gul","10.20944/preprints202504.2283.v1","","Wearable sensors have emerged as pivotal tools in the management of chronic diseases, including cardiovascular diseases, Parkinson’s disease, diabetes, chronic obstructive pulmonary disease (COPD), and arthritis. We aim to investigate the contribution of wearable sensors in managing chronic diseases and remote patient monitoring by evaluating the existing literature which involves types, applications, and impacts of wearable sensors on chronic disease management and treatment planning. This review systematically evaluates the existing literature published in reputable conferences and journals from 2015 to 2024. The databases used for this literature review include Google Scholar, Sci-Hub, and IEEE Xplore. The analysis categorizes the literature based on the types of wearable sensors, their applications, and their impacts on the management of chronic diseases. The findings indicate that wearable technology is particularly beneficial for chronic diseases that require continuous monitoring of health parameters. For example, diabetes management greatly benefits from real-time blood glucose monitoring, while cardiovascular diseases require ongoing heart rate monitoring. In contrast, the efficacy of wearable technology appears limited in addressing mental health conditions such as anxiety and depression. Wearable devices facilitate predic-tive analytics and treatment planning through real-time data monitoring. To enhance the effectiveness of wearable technology, future designs should prioritize user privacy and comfort alongside technical performance. This review advocates for future research aimed at improving the accuracy, privacy, and efficiency of wearable sensors through their integration with existing healthcare systems. ","This review evaluates the effectiveness of wearable sensors in managing chronic diseases, highlighting their benefits in continuous monitoring of health parameters, particularly for diabetes and cardiovascular diseases, but limited efficacy in addressing mental health conditions."
"Integrating Wearable Health Technology into Patient Care: Implications for Chronic Disease Management and Preventive Health","https://scispace.com/paper/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv","2024","Journal Article","Deleted Journal","Yessy Dessy Arna
Hassan Burhan
Indriati Kusumaningsih
Sri Mulyani
Endah Labati","10.59613/5rn8fm71","https://scispace.compdf/integrating-wearable-health-technology-into-patient-care-2drioloi1rfv.pdf","The integration of wearable health technology into patient care represents a transformative approach to managing chronic diseases and promoting preventive health. This article examines the potential of wearable devices, such as fitness trackers, smartwatches, and continuous monitoring sensors, to enhance patient outcomes by providing real-time data on key health indicators, including heart rate, blood pressure, physical activity, and sleep patterns. Through an analysis of current applications and advancements in wearable technology, this study assesses how these devices contribute to early disease detection, improved patient engagement, and proactive management of chronic conditions like diabetes, hypertension, and cardiovascular diseases. Findings indicate that wearable health technology supports more personalized and responsive care models, allowing healthcare providers to track patient progress remotely, adjust treatments as needed, and foster greater adherence to health interventions. Additionally, the study highlights challenges related to data privacy, interoperability, and patient adherence, underscoring the importance of addressing these issues to fully realize the potential of wearable technology in healthcare. By providing insights into the effective integration of wearable devices in clinical settings, this research offers valuable guidance for healthcare providers, policymakers, and technology developers aiming to improve chronic disease management and advance preventive healthcare strategies. ","Wearable health technology enhances patient outcomes by providing real-time data on key health indicators, supporting early disease detection, improved patient engagement, and proactive management of chronic conditions, but raises concerns about data privacy, interoperability, and patient adherence."
"The Impact of Wearable Devices on Public Health Outcomes in The Treatment of Chronic Diseases Through Continuous Physiological Monitoring","https://scispace.com/paper/the-impact-of-wearable-devices-on-public-health-outcomes-in-587he1jlyylp","2024","Journal Article","South Eastern European Journal of Public Health","Sanjay Kumar
Priti Sharma","10.70135/seejph.vi.875","","Chronic illnesses contribute to elevated levels of disability and death. The active involvement of patients in the treatment of chronic diseases is a crucial element of healthcare systems that are focused on chronic diseases. Wearable devices provide real-time health information focused on the patient, enabling them to make informed decisions about self-management. Although wearables are believed to offer advantages in enhancing the self-management of chronic illnesses, their impact on healthcare outcomes still needs to be well comprehended. This study sought to investigate the effect of wearables on healthcare results in adults with chronic conditions by conducting a comprehensive analysis of existing evidence for physiological monitoring. A narrative systematic literature review was performed by searching six databases for randomized and observational research published from January 2018 to July 2023. These studies focused on utilizing a wearable intervention in a group of individuals with chronic diseases to evaluate its effect on a predetermined end measure. The outcomes were defined as any impact on patient or practitioner experience, cost-effectiveness, or healthcare outcomes resulting from the wearable intervention. The findings from the research included in the analysis were gathered according to 6 main themes, which were used as the foundation for a qualitative summary. This research adhered to the requirements outlined in the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) declaration. ","This systematic review investigates the impact of wearable devices on public health outcomes in chronic disease treatment through continuous physiological monitoring, analyzing 6 databases for studies from 2018-2023, and identifies 6 main themes influencing patient and practitioner experience, cost-effectiveness, and healthcare outcomes."
